Region,Country,Item Type,Sales Channel,Order Priority,Units Sold,Unit Price,Unit Cost,Total Revenue,Total Cost,Total Profit,Order Year,Order Month Name,Order Month
Australia and Oceania,Tuvalu,Baby Food,Offline,H,9925,255.28,159.42,2533654.0,1582243.5,951410.5,2010,May,5
Central America and the Caribbean,Grenada,Cereal,Online,C,2804,205.7,117.11,576782.8,328376.44,248406.36,2012,August,8
Europe,Russia,Office Supplies,Offline,L,1779,651.21,524.96,1158502.59,933903.84,224598.75,2014,May,5
Sub-Saharan Africa,Sao Tome and Principe,Fruits,Online,C,8102,9.33,6.92,75591.66,56065.84,19525.82,2014,June,6
Sub-Saharan Africa,Rwanda,Office Supplies,Offline,L,5062,651.21,524.96,3296425.02,2657347.52,639077.5,2013,February,2
Australia and Oceania,Solomon Islands,Baby Food,Online,C,2974,255.28,159.42,759202.72,474115.08,285087.64,2015,February,2
Sub-Saharan Africa,Angola,Household,Offline,M,4187,668.27,502.54,2798046.49,2104134.98,693911.51,2011,April,4
Sub-Saharan Africa,Burkina Faso,Vegetables,Online,H,8082,154.06,90.93,1245112.92,734896.26,510216.66,2012,July,7
Sub-Saharan Africa,Republic of the Congo,Personal Care,Offline,M,6070,81.73,56.67,496101.1,343986.9,152114.2,2015,July,7
Sub-Saharan Africa,Senegal,Cereal,Online,H,6593,205.7,117.11,1356180.1,772106.23,584073.87,2014,April,4
Asia,Kyrgyzstan,Vegetables,Online,H,124,154.06,90.93,19103.44,11275.32,7828.12,2011,June,6
Sub-Saharan Africa,Cape Verde,Clothes,Offline,H,4168,109.28,35.84,455479.04,149381.12,306097.92,2014,August,8
Asia,Bangladesh,Clothes,Online,L,8263,109.28,35.84,902980.64,296145.92,606834.72,2017,January,1
Central America and the Caribbean,Honduras,Household,Offline,H,8974,668.27,502.54,5997054.98,4509793.96,1487261.02,2017,February,2
Asia,Mongolia,Personal Care,Offline,C,4901,81.73,56.67,400558.73,277739.67,122819.06,2014,February,2
Europe,Bulgaria,Clothes,Online,M,1673,109.28,35.84,182825.44,59960.32,122865.12,2012,April,4
Asia,Sri Lanka,Cosmetics,Offline,M,6952,437.2,263.33,3039414.4,1830670.16,1208744.24,2016,November,11
Sub-Saharan Africa,Cameroon,Beverages,Offline,C,5430,47.45,31.79,257653.5,172619.7,85033.8,2015,April,4
Asia,Turkmenistan,Household,Offline,L,3830,668.27,502.54,2559474.1,1924728.2,634745.9,2010,December,12
Australia and Oceania,East Timor,Meat,Online,L,5908,421.89,364.69,2492526.12,2154588.52,337937.6,2012,July,7
Europe,Norway,Baby Food,Online,L,7450,255.28,159.42,1901836.0,1187679.0,714157.0,2014,May,5
Europe,Portugal,Baby Food,Online,H,1273,255.28,159.42,324971.44,202941.66,122029.78,2015,July,7
Central America and the Caribbean,Honduras,Snacks,Online,L,2225,152.58,97.44,339490.5,216804.0,122686.5,2016,June,6
Australia and Oceania,New Zealand,Fruits,Online,H,2187,9.33,6.92,20404.71,15134.04,5270.67,2014,September,9
Europe,Moldova ,Personal Care,Online,L,5070,81.73,56.67,414371.1,287316.9,127054.2,2016,May,5
Europe,France,Cosmetics,Online,H,1815,437.2,263.33,793518.0,477943.95,315574.05,2017,May,5
Australia and Oceania,Kiribati,Fruits,Online,M,5398,9.33,6.92,50363.34,37354.16,13009.18,2014,October,10
Sub-Saharan Africa,Mali,Fruits,Online,L,5822,9.33,6.92,54319.26,40288.24,14031.02,2010,May,5
Europe,Norway,Beverages,Offline,C,5124,47.45,31.79,243133.8,162891.96,80241.84,2014,July,7
Sub-Saharan Africa,The Gambia,Household,Offline,L,2370,668.27,502.54,1583799.9,1191019.8,392780.1,2012,May,5
Europe,Switzerland,Cosmetics,Offline,M,8661,437.2,263.33,3786589.2,2280701.13,1505888.07,2012,September,9
Sub-Saharan Africa,South Sudan,Personal Care,Offline,C,2125,81.73,56.67,173676.25,120423.75,53252.5,2013,December,12
Australia and Oceania,Australia,Office Supplies,Online,C,2924,651.21,524.96,1904138.04,1534983.04,369155.0,2015,October,10
Asia,Myanmar,Household,Offline,H,8250,668.27,502.54,5513227.5,4145955.0,1367272.5,2015,January,1
Sub-Saharan Africa,Djibouti,Snacks,Online,M,7327,152.58,97.44,1117953.66,713942.88,404010.78,2017,February,2
Central America and the Caribbean,Costa Rica,Personal Care,Offline,L,6409,81.73,56.67,523807.57,363198.03,160609.54,2017,May,5
Middle East and North Africa,Syria,Fruits,Online,L,3784,9.33,6.92,35304.72,26185.28,9119.44,2011,November,11
Sub-Saharan Africa,The Gambia,Meat,Online,M,4767,421.89,364.69,2011149.63,1738477.23,272672.4,2017,January,1
Asia,Brunei,Office Supplies,Online,L,6708,651.21,524.96,4368316.68,3521431.68,846885.0,2012,April,4
Europe,Bulgaria,Office Supplies,Online,M,3987,651.21,524.96,2596374.27,2093015.52,503358.75,2012,February,2
Sub-Saharan Africa,Niger,Personal Care,Online,H,3015,81.73,56.67,246415.95,170860.05,75555.9,2017,March,3
Middle East and North Africa,Azerbaijan,Cosmetics,Online,M,7234,437.2,263.33,3162704.8,1904929.22,1257775.58,2010,February,2
Sub-Saharan Africa,The Gambia,Cereal,Offline,H,2117,205.7,117.11,435466.9,247921.87,187545.03,2012,June,6
Europe,Slovakia,Vegetables,Online,H,171,154.06,90.93,26344.26,15549.03,10795.23,2012,October,10
Asia,Myanmar,Clothes,Online,H,5930,109.28,35.84,648030.4,212531.2,435499.2,2015,November,11
Sub-Saharan Africa,Comoros,Cereal,Offline,H,962,205.7,117.11,197883.4,112659.82,85223.58,2016,March,3
Europe,Iceland,Cosmetics,Online,C,8867,437.2,263.33,3876652.4,2334947.11,1541705.29,2016,December,12
Europe,Switzerland,Personal Care,Online,M,273,81.73,56.67,22312.29,15470.91,6841.38,2010,December,12
